Probe Set ID;Gene Title;Gene Symbol;Probe Position;NCBI;NCBI;Cluster;Correlation to FoxP3;TregSig;IL2ActnoFox;IL2Act;Act;TGFnoFox;TGF;FOXP3rv;ActCD4;ActCD4TGF;ActTreg;ActTregTGF;CTRLrv;FOXP3rv;Ctrlrv;Foxp3rv;sfActCD4;sfActCD4TGF;wtActCD4;wtActCD4TGF;ActCD8;ActCD8TGF;TconvThy;TregThy;TconvLN;TregLN;TconvSpN;TregSpN;TconvSpB;TregSpB;CD4AND;ActCD4AND
1452127_a_at;protein tyrosine phosphatase| non-receptor type 13;Ptpn13;chr5:100911923-100960497 (+) // 95.87 // qE5;19249;19249;5;0.408183872;4.09;4.98;4.87;1.83;0.49;0.5;1.41;98;121.3;196.6;146.8;104;146.3;87;114.8;323.5;157.3;286.6;142;82.5;69.1;61.1;163.4;109.2;253;64.9;265.1;58.9;155.8;18.5;33.8
1457178_at;RAB GTPase activating protein 1-like;Rabgap1l;chr1:160558451-160559128 (-) // 81.68 // qH2.1;---;---;6;0.761668344;4.03;2.05;2.09;1.87;0.63;1.05;1.61;319.9;722.9;720.5;829.6;284.7;457.4;452.1;490.6;548.1;344.2;540.9;570;477.3;437.8;276.1;843.4;450.2;1830.3;267.2;1077;259.2;1346.9;388.6;725.9
1415874_at;sprouty homolog 1 (Drosophila);Spry1;chr3:37441675-37446337 (+) // 93.25 // qB;24063;24063;1;0.862374207;4.02;0.54;0.89;1.09;1.04;1.27;1.21;228.3;322.9;240.4;246.5;172;208.9;195.7;173;127.2;131.8;138;174.7;124.8;127.3;118;227.3;153;283.5;236.9;953.1;154.5;536.5;119.8;131.1
1428939_s_at;guanine nucleotide binding protein| alpha q polypeptide;Gnaq;chr19:15663082-15665928 (+) // 95.54 // qA;14682;14682;4;0.451807034;3.99;2.38;3.57;0.87;1.1;1.68;1.93;75.8;217.8;205.2;191;92.9;179.1;40.6;93.4;89.5;98.4;83.7;141.1;33.4;39.3;21.3;39.5;26.2;85.2;37.6;150;23.5;63.9;11.2;9.7
1439496_at;RIKEN cDNA 4921524J06 gene;4921524J06Rik;chr17:87259995-87262048 (+) // 89.29 // qE4;77057;77057;4;0.494065847;3.98;1.97;2.7;0.48;1.7;2.41;1.33;124.3;344.5;319;525.9;146.3;193.8;136.5;150.2;174.3;295.9;235.8;568.5;188.3;284.2;194.8;611.4;47.1;216.1;88.3;351.4;87.3;187.6;60.5;29
1440837_at;histocompatibility 2| O region beta locus;H2-Ob;chr17:32738730-32739729 (+) // 29.1 // qB1 /// chrUn_;---;---;6;0.698046378;3.95;0.07;0.04;0.7;1;2.78;1.56;148.1;209.9;123.3;421.2;102.3;159.5;177.3;256.6;20;20;20;55.5;129.4;98.9;394.9;686;893.1;1358.4;293;1157.9;515.2;1307.5;73.5;51.1
1435244_at;Vav2 oncogene;Vav2;chr2:27222126-27223490 (-) // 89.8 // qA3;---;---;6;0.846145802;3.88;0.93;1.5;0.97;0.9;1.05;1.44;135.4;162.5;318.7;247.3;154.4;221.8;149.9;216.6;104.7;94;169.9;179.1;99.1;78.2;141.4;398.4;108.8;476.7;112.8;437.2;113.4;534.9;110.7;107.4
1454942_at;niban protein;Niban;chr1:151683645-151686079 (+) // 97.55 // qG2;63913;63913;1;0.613898613;3.88;2.03;2.14;1.41;0.7;2.04;1.35;391.7;548;627.6;731.7;432;581.6;552.2;606.6;344.6;242.7;241.3;492;377.2;313;68.1;832.9;169.9;983.2;169.8;659.2;112.8;535.7;133.4;188.1
1429527_a_at;phospholipid scramblase 1 /// hypothetical LOC433328 /// hypothetical protein LOC677340;Plscr1 /// LOC433328 /// LOC677340;chr9:92091828-92104529 (+) // 88.69 // qE3.3 /// chr1;22038;22038;4;0.013680619;3.84;12.39;26.56;2.95;1.99;1.52;1.51;175.9;350.7;412.5;348.5;171.1;259.1;85;159.4;534.9;1065.2;602.9;916.6;249.7;399.7;21.7;217.6;85.7;308.9;43.2;165.6;22.7;146.4;36;106.2
1443354_at;Tripartite motif-containing 59;Trim59;chr3:69379002-69379634 (-) // 72.31 // qE1;---;---;1;0.38043755;3.82;1.25;1.81;1.25;1.07;0.96;1.03;458.2;357.9;492.7;353.2;597.8;614;900.8;810.9;321.9;345.5;362.2;346.6;561.3;628;185.3;282.6;215.1;460.4;257;980.5;200.4;605.6;260;324.2
1438169_a_at;FERM domain containing 4B;Frmd4b;chr6:97664098-97664397 (-) // 98.33 // qD3;232288;232288;5;-0.10538803;3.82;13.05;9.4;6.7;1.04;0.87;1.31;86.4;127.7;112.2;113.9;120.1;157.1;67.4;91.4;1035.4;1079.1;579.2;506.3;157.7;416.5;76.5;217.4;126.8;428.8;79.3;303.1;61.6;191.3;75.5;505.5
1448788_at;Cd200 antigen;Cd200;chr16:45337523-45364392 (-) // 95.77 // qB5;17470 /// 69477;17470 /// 69477;6;0.628188744;3.78;0.31;0.59;0.73;2.05;1.16;1.03;126.8;67.9;198.6;229.3;125.6;129.4;194.2;193.5;167.3;342.3;249.7;289;93.9;123.4;293.3;865.3;487.5;990.9;543.3;2054;424.3;1511.3;1273.1;934.2
1422567_at;niban protein;Niban;chr1:151533042-151683847 (+) // 99.72 // qG1;---;---;4;0.320640364;3.69;6.07;4.51;2.05;0.88;1.64;1.31;217.2;300.8;442.4;450.1;267.1;349.2;244.9;294;351.5;309.2;228.8;375.4;184.8;165.2;51.2;380.8;74.5;424.8;57.9;214;50.8;195.3;85.2;174.7
1427568_a_at;intraflagellar transport 80 homolog (Chlamydomonas);Ift80;chr3:69232748-69313983 (-) // 83.41 // qE1;68259;68259;6;0.782991902;3.66;0.25;0.37;0.18;1.43;1.87;1.24;798.6;791.4;1568.7;1283.4;913.1;1130.2;1062.6;1256.4;216.9;311.1;370.9;692.4;624.5;1028.3;993.5;2212.3;927;2561.1;879.5;3219.2;991.2;3408.7;2050.9;373.8
1420404_at;CD86 antigen;Cd86;chr16:36452027-36514231 (-) // 99.14 // qB3;12524;12524;6;0.539764704;3.65;0.86;0.82;0.21;1.37;1.64;1.46;42;97.4;97.6;106;45.3;65.9;33;44.6;45.4;62.4;59.4;97.2;66.2;63.8;41.1;105;64.3;324.9;53;193.2;72.6;128.6;220.2;46.8
1457701_at;transmembrane protein 136;Tmem136;chr9:43180676-43181337 (-) // 92.9 // qA5.1;---;---;6;0.650435827;3.63;0.51;0.93;0.83;1.02;2.08;1;27.2;83.2;94.2;193.7;34.2;34.1;29.1;47.2;28.7;29.3;28.4;59.1;33.9;40.4;52.4;98.2;51.6;356.7;56.5;204.9;30.6;88.4;37.5;31.3
1416111_at;CD83 antigen;Cd83;chr13:43237503-43255526 (+) // 98.06 // qA5;12522;12522;6;0.374815532;3.58;1.2;2.06;0.39;0.91;1.6;1.7;52.7;129.2;107.4;133.7;52.8;89.5;53.3;50.4;51.3;46.8;83.5;133.7;56.6;41.3;49.4;623.8;106.9;895.2;42.7;152.8;40.6;183.4;261.8;102
1420691_at;interleukin 2 receptor| alpha chain;Il2ra;chr2:11593911-11644298 (+) // 62.11 // qA1;16184;16184;5;0.121474597;3.55;9.42;9.37;0.84;0.5;0.65;1.67;236;268.9;475.1;189.9;212.9;354.8;140.6;185.6;604.4;304.4;543.9;355.3;122;158.8;58.4;175;55.2;175.9;64.2;227.6;58;236.2;64.5;54.2
1418025_at;basic helix-loop-helix domain containing| class B2;Bhlhb2;chr6:109050640-109056920 (+) // 96.72 // qE2;20893;20893;4;0.02364311;3.53;11.71;17.06;1.94;0.76;0.65;1.2;1055.3;1685;858;1674.3;790.5;945.2;407.6;521.9;2067.8;1580.3;1960.2;1273.1;1101.2;419.3;85.7;485.8;159.1;387.2;176.6;622.9;114.9;333.9;123.8;239.8
1417951_at;enolase 3| beta muscle;Eno3;chr11:70269775-70275069 (+) // 91.92 // qB3;13808;13808;5;0.356409172;3.48;2.22;2.76;0.37;1.45;1.68;1.86;185.7;160.5;399.8;310.1;169.4;315.1;160.6;209;248.5;360.7;357.4;601.3;311.3;133.4;156.8;747.3;97.4;251.5;112.1;389.9;129.7;252.9;90.9;33.5
1436990_s_at;Nur77 downstream gene 2;Ndg2;chr14:108739182-108739382 (+) // 60.46 // qE4;103172;103172;6;0.694973895;3.41;1.65;2.15;1.42;1.26;1.08;1.3;85.2;148;172.1;198.3;78.4;101.7;62.2;63.6;220.9;279;264.7;286.8;109.9;72.7;75.8;325.4;97.6;177.2;133.8;456.4;122.8;357.3;175;247.8
1422542_at;G protein-coupled receptor 34;Gpr34;chrX:11964517-11972592 (+) // 99.63 // qA1.1;23890;23890;3;-0.143806502;3.41;5.52;4.23;0.71;3.7;1.48;1.17;199.5;82.3;197.3;61.2;310.8;364.8;222.4;353.8;130;480.8;119.7;176.8;65.4;754.1;21.2;72.1;43.9;249.4;23.6;80.5;28.3;132.1;23.8;16.9
1445148_at;Phospholipase C-like 1;Plcl1;chr1:55817186-55817776 (+) // 17.33 // qC1.2;320281;320281;1;0.516210206;3.4;3.02;1.35;1.7;0.31;1.33;1.21;28.2;121.4;132.9;292.7;28.2;34.2;24.6;29.5;89.4;27.5;61.8;81.9;27.5;24.6;46.3;99.7;49.1;191.4;29.6;100.6;45.9;109.6;91.6;155.4
1428547_at;5' nucleotidase| ecto;Nt5e;chr9:88809719-88811318 (+) // 82.11 // qE3.1;23959;23959;1;0.438358664;3.4;0.55;0.91;2.19;6.38;12.6;1.21;96.9;638.8;225.5;553.9;92.3;111.3;74.2;102.8;29.1;185.8;54.9;692.3;96.7;433.7;29.4;121.9;98;396.9;52.7;179.5;60.7;197.4;55.9;122.5
1416021_a_at;fatty acid binding protein 5| epidermal /// similar to Fatty acid-binding protein| epidermal (E-FABP) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP) (Keratinocyte lipid-binding protein) /// similar to Fatty acid-binding protein| epide;Fabp5 /// LOC628298 /// LOC637129 /// LOC669559 /// LOC672321;chr3:10069521-10073530 (+) // 86.56 // qA1 /// chr9:5;16592;16592;5;0.095456311;3.4;8.76;11.95;3.81;0.75;0.62;0.61;1264.8;713.4;1538.2;1225.9;906.6;553.7;275.2;251.1;1675.5;1248.9;2352.6;1454.1;382.2;84.1;394.4;1520.2;161;678.1;191.2;649.5;196.8;448.7;112.4;428.4
1417090_at;reticulocalbin 1;Rcn1;chr2:105279654-105292468 (-) // 97.69 // qE3;19672;19672;4;0.289095099;3.39;2.6;3.4;0.82;1.31;1.36;1.19;2332;2941.2;2826.6;2563.6;2151.2;2556.7;1749.6;2184.6;1105.2;1447.5;1342.5;1821.8;1267.5;1233.3;168.1;548.4;493.2;1320.5;424.4;1439.1;395.3;1399.7;217.9;178.8
1445629_at;Solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter)| member D1;Slc35d1;chr4:101555037-101555507 (-) // 68.94 // qC6;---;---;6;0.828750629;3.35;0.86;0.93;0.62;0.55;1.14;1.25;80.6;103.6;185.5;158.5;100.1;125;99.1;121.4;178;98;127;144.2;123.8;119.5;194.2;454.4;119.9;377.8;206.3;690.8;136.8;1022.7;89.3;55
1455746_at;kinesin family member 13A;Kif13a;chr13:46243602-46244341 (-) // 95.26 // qA5;16553;16553;6;0.621739967;3.34;2.62;1.26;1.41;0.5;0.89;1;99.9;79.6;154.9;103.4;94;93.6;77.5;84.6;124;61.9;72.9;65;26.9;27.2;38.6;83.3;63.3;390.3;47.3;157.9;57.8;274.9;35.4;50.1
1437506_at;---;---;chr13:101256160-101256850 (+) // 99.42 // qD1;108154;108154;1;0.595035759;3.33;0.55;0.76;0.46;1.95;5.62;1.62;177.5;697.3;423.1;878.6;127.1;205.6;116.6;157.6;60.9;118.4;95.3;536.2;102;313.6;113.5;291.3;131.8;408.2;110.4;367.7;125.5;382.8;209.2;96
1425145_at;interleukin 1 receptor-like 1;Il1rl1;chr1:40764844-40790758 (+) // 84.31 // qB;17082;17082;5;0.10880364;3.29;18.2;11.65;1.55;0.49;0.31;1.26;195.2;342.8;1219.6;737;200.4;251.5;293.1;295.8;2003;987.3;1295.3;395.5;113.6;103.2;94.8;1314.7;126.9;1095.4;110;361.5;111.2;294.5;80.4;124.6
1458802_at;human immunodeficiency virus type I enhancer binding protein 3;Hivep3;chr4:118482658-118483518 (+) // 91.03 // qD2.1;16656;16656;6;0.470957768;3.27;1.36;1.44;0.47;1.15;0.76;0.9;590.9;338.3;292.7;278.5;296.2;266.2;351.4;361.5;498;571;754.8;570.8;134.7;122.6;837;1159;714.4;1908.9;365.5;1193.6;524.5;1076.3;1001.6;469.6
1447792_x_at;G protein-coupled receptor 174;Gpr174;chrX:98699414-98699663 (+) // 99.2 // qD;---;---;6;0.418514463;3.27;2.37;1.37;0.33;0.35;0.25;1.21;103.8;66.9;254;114;165.6;200.3;212.5;238.1;404.8;143.4;335.3;84;257.1;164.4;270.4;339.6;397;869.4;171;559;245.5;503;347.6;114.4
1417679_at;growth factor independent 1;Gfi1;chr5:105158334-105166025 (-) // 93.81 // qE5;14581;14581;3;-0.038213471;3.26;5.16;4.46;1.84;0.9;0.44;1;135;93.1;94.3;80.5;136;135.5;194.2;223;839;751.7;771.9;341.7;878.1;1218.4;170.7;305.9;143.7;246.3;162.5;529.1;173;491.7;81.1;149.2
1460121_at;RIKEN cDNA 9630010G10 gene;9630010G10Rik;chr17:54708593-54709781 (-) // 59.34 // qC;399612;399612;1;0.376894729;3.24;3.73;2.77;0.82;1.04;1.72;0.93;238.1;347.2;317.7;370.3;203.8;189.1;227.9;256.2;255.5;265.4;285.5;491.7;439.4;212.1;324;851.4;104;467.9;68.5;221.6;103;317.3;79.2;64.8
1447849_s_at;avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog;Maf;chr8:115057264-115057503 (-) // 53.45 // qE1;---;---;6;0.312675571;3.23;2.96;1.52;27.55;0.72;0.84;1.01;33.7;107.8;69.9;155.3;25;25.2;25.6;31.2;1012.7;726.6;296.5;248.5;20;23.9;47.7;457.3;784.4;1689.3;341.8;1104.1;194.9;423.8;31;854.2
1423543_at;SWA-70 protein;Swap70;chr7:97492448-97553591 (+) // 99.85 // qE3;20947;20947;5;0.367995791;3.22;5.47;3.16;0.55;0.74;0.81;1.26;126.3;79.9;172.4;128.5;131.1;164.9;114.8;130;396.2;293.6;208.4;168.2;111.8;148.7;86.6;361.7;85;362;72.5;233.3;66;331;209.2;114.4
1420549_at;guanylate nucleotide binding protein 1;Gbp1;chr3:143059369-143178214 (+) // 90.19 // qH1;14468;14468;6;0.659835168;3.19;0.92;1.03;1.16;1.34;1.22;1.07;69;74.4;89.8;109.8;83.7;89.7;94;77;85.2;114.4;75.6;92.1;92;96.6;71.9;92.1;82.9;410;92.7;296;73.5;232.6;57.8;66.9
1434210_s_at;leucine-rich repeats and immunoglobulin-like domains 1;Lrig1;chr6:94969500-94970175 (-) // 92.2 // qD2;16206;16206;6;0.742967602;3.17;0.23;0.27;0.27;1.33;3.17;1.02;97.9;496.5;250.8;876.8;105.2;107.1;91.2;113.9;69.9;93;133.1;421.3;46.3;175.5;74.4;337.9;613.2;1859.9;310.1;981.5;496.7;1344.7;345.7;92.3
1426043_a_at;calpain 3;Capn3;chr2:120245448-120286075 (+) // 99.68 // qE5;12335;12335;1;0.499378963;3.17;0.67;1.35;0.69;1.14;3.49;1.6;97.5;275.3;208.9;474.9;129.6;207.8;187.8;294;42.9;48.9;84.6;295.4;124.8;83.2;203.6;454.2;68.8;313.8;64.5;204.4;62.6;181.1;59.1;40.8
1449893_a_at;leucine-rich repeats and immunoglobulin-like domains 1;Lrig1;chr6:94969502-95064906 (-) // 98.46 // qD2;16206;16206;6;0.642334262;3.16;0.27;0.23;0.25;1.33;3.9;1.1;55.1;297.9;150.4;541.6;55.7;61.2;41.3;53.4;35.9;47.8;66.1;257.9;24.4;97.9;34.5;184.2;400.1;1268.3;131.6;416.2;281.6;717.7;171.2;42.1
1428289_at;Kruppel-like factor 9;Klf9;chr19:22437999-22441303 (+) // 93.57 // qB;16601;16601;1;0.757514956;3.14;1.2;1.11;0.67;1.67;1.9;1.27;548.8;675.9;464.3;673.1;374.3;475.9;379.4;491;275.8;459.2;312.9;593.4;519.3;537.5;203.3;378.7;306.8;833.8;229.3;721;282.2;823.5;155.2;103.9
1453181_x_at;phospholipid scramblase 1;Plscr1;chr9:92091828-92104529 (+) // 88.69 // qE3.3 /// chr1;22038;22038;4;-0.007347729;3.12;10.18;22;5.1;1.92;1.47;1.71;194.9;348.5;404.4;370.8;168.4;287.9;136.8;170;477.6;916.1;584.4;857.9;256;391;20.9;223.9;83.6;301.2;46.9;146.6;26.6;141.9;57.8;294.8
1457094_at;src homology 2 domain-containing transforming protein E;She;chr3:90282869-90283833 (+) // 99.07 // qF1;---;---;4;0.270821163;3.09;0.71;1.35;0.74;0.91;2.57;1.32;867.6;1351;850.1;852;669.9;881.5;586;714.5;56.1;50.9;113.7;291.7;58.4;77.2;96.9;220.9;123.9;501.8;79.5;245.4;84.5;323.2;64.9;48.2
1454809_at;nuclear receptor coactivator 7;Ncoa7;chr10:30434928-30445112 (-) // 93.71 // qA4;211329;211329;3;0.213920216;3.07;1.1;1.09;1.14;1.13;1.15;0.8;944;436.6;1444.6;684.4;1127.9;902.4;1375.8;928.2;522.4;591.9;555.6;636.4;993.5;2756;844.3;1762;618.7;988.4;473.9;1456.5;508.1;1337.1;824.8;941.2
1418402_at;a disintegrin and metallopeptidase domain 19 (meltrin beta);Adam19;chr11:45695726-45787078 (+) // 90.32 // qB1.1;11492;11492;5;0.226358437;3.05;3.33;3.68;3.44;1.37;1.26;0.86;700.7;1138.6;783;1042.6;605.4;518.7;349.9;320.8;1332.3;1830.3;1127.9;1426.4;737.1;1131.4;202.2;546.7;305.9;535.8;400.1;1221.3;306.3;774.1;332.6;1144.5
1428097_at;RIKEN cDNA 2510009E07 gene;2510009E07Rik;chr16:21481379-21484712 (-) // 94.05 // qB1;72190;72190;6;0.614657729;3.03;0.75;1.68;0.47;1.78;1.03;1.05;132.6;99.3;141.9;179.1;131.9;138.7;115.2;111.6;89.3;159.3;186.5;192.6;94.4;127.4;229.7;290.7;142.4;258.4;118.8;359.7;110.7;283.5;141.5;66.7
1437434_a_at;G protein-coupled receptor 177;Gpr177;chr3:160550971-160575483 (+) // 85.69 // qH4;68151;68151;6;0.756414435;3;0.62;0.53;0.71;0.9;1.27;1.83;101.4;116.9;213.5;197.9;91.3;167;116.4;140.6;70.3;63.3;54.7;69.4;156.8;191.1;155.9;272.7;102;295.7;112.6;338.3;102.9;313.7;81.6;58.2
1457198_at;neuropilin 1;Nrp1;chr8:127786083-127786737 (+) // 88.28 // qE2;---;---;1;0.501351557;3;0.53;0.76;2.48;1.57;7.98;1.46;290.4;1115;409.4;1038.6;210.1;306;354.8;409.6;72.6;113.9;110.8;884.2;165.4;148;93.7;877;419.1;2894.3;137.6;412.8;146.6;694.6;184.5;457.6
1433908_a_at;cortactin;Cttn;chr7:132140435-132140793 (-) // 89.46 // qF5;---;---;5;0.015957333;2.99;7.28;9.45;1.27;1.22;1.36;0.91;20;37.8;26.8;41.5;22.2;20.2;22.4;20;268.8;328.6;262.8;357.2;20.9;34.9;39;76;46.3;111.6;36.9;110.6;27.8;48.2;19.3;24.6
1444559_at;Putative homeodomain transcription factor 2;Phtf2;---;---;---;6;0.767462032;2.98;1.2;1.84;1.67;0.98;0.66;1.08;27.6;22.2;34.5;31.7;21.4;23.1;20.6;21.3;36.6;36;47.1;31.2;20;20;20;43.3;20.1;42.9;30.5;90.7;25.6;57.5;12.9;21.6
1437067_at;putative homeodomain transcription factor 2;Phtf2;chr5:19138208-19139394 (-) // 97.05 // qA3;68770;68770;1;0.641487474;2.94;1.44;2.51;0.66;1.12;1.39;1.23;459.2;652.3;1152.1;855.6;498.1;614.9;367.6;487.2;360;404;531.6;740.8;215.1;188.5;364.4;818.1;356.9;960.6;249.2;733.5;211.9;719.4;273.5;180.8
1434830_at;MAX dimerization protein 1;Mxd1;chr6:86980722-86984251 (-) // 97.86 // qD1;17119;17119;4;0.518265819;2.94;2.24;1.79;1.08;0.94;1.75;2.59;641.4;1381.4;1755.2;1561.3;652.1;1687.4;615;996.9;834.3;782.3;624.9;1090.8;607.4;741.5;465.9;1235.5;282.7;526;372.3;1096.1;348.7;1334.1;226.8;244.1
1448613_at;extracellular matrix protein 1;Ecm1;chr3:95728929-95734349 (-) // 96.44 // qF2.1;13601;13601;1;0.854336699;2.93;0.96;0.6;0.75;0.7;1.46;1.16;105.8;99.7;189.5;191.5;86.3;100.4;72.6;90.4;71.2;50;55.1;80.6;39.2;48.3;44.1;147.9;63.3;126.3;74;216.5;91.4;326.2;58.4;43.8
1428288_at;Kruppel-like factor 9;Klf9;chr19:22437999-22441303 (+) // 93.57 // qB;70273;70273;1;0.501358431;2.91;1.82;1.69;0.84;1.78;1.86;1.15;235;279.8;214.1;288.7;178.3;205.3;165.2;209.1;130.6;232.2;152.1;282.7;228;230.6;72.2;164.5;119.4;360.4;71.7;209;90;219.7;76.5;64.2
1445178_at;SH3 domain containing ring finger 1;Sh3rf1;chr8:60267418-60268131 (+) // 98.07 // qB3.1;---;---;6;0.598693109;2.9;1.12;1.19;1.04;1.21;1.04;0.97;36.3;50.4;75.3;74.4;39.8;38.8;50.4;41.1;35;42.4;44.1;46;35.6;35.5;57.9;129.3;52.1;125.6;31.2;90.3;37;62.5;36.3;37.7
1448724_at;cytokine inducible SH2-containing protein;Cish;chr9:107315960-107321901 (+) // 96.48 // qF1;12700;12700;4;0.329804549;2.9;4.22;4.99;0.86;1.19;1.32;1.43;1541.6;2517.6;2427.5;2454.3;1374;1967;817;1039.4;1640.2;1952.3;1516.5;2006.6;568.2;840.8;260.6;1250.6;276.3;987.9;388.4;1128.1;303.8;1204.4;112.3;96.6
1445664_at;Insulin-like growth factor I receptor;Igf1r;chr7:55152291-55152699 (+) // 99.76 // qB5;---;---;6;0.783684275;2.89;0.88;1;0.89;1;1;1;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;22.3;67.9;22.7;65.7;20;68.7;10.2;9.1
1416330_at;CD 81 antigen;Cd81;chr7:130757560-130772702 (+) // 90.87 // qF5;12520;12520;5;0.456203225;2.89;2.72;2.78;0.57;0.17;0.7;1.18;948.2;633.9;1437.9;946.9;814.6;963.8;705.8;758.4;1004.1;169.2;1107.7;771.9;110.5;40.1;1150.2;1699.1;320;1197.3;369.2;1068;399;1114.4;315.8;178.4
1437219_at;Insulin-like growth factor I receptor;Igf1r;chr7:55054392-55055521 (+) // 99.73 // qB5;---;---;6;0.543276451;2.88;0.46;0.43;0.66;1.05;1.27;0.95;75.4;49.6;93.6;89.9;61.5;58.7;133.3;111.7;39.1;41.2;38.4;48.8;69.4;50.7;127.1;218;190.3;573.3;85.2;245.3;89.6;296.9;42.5;27.9
1450389_s_at;phosphatidylinositol-4-phosphate 5-kinase| type 1 alpha;Pip5k1a;chr19:23568321-23717812 (-) // 95.01 // qB;18719;18719;6;0.768824227;2.87;1.07;1.57;0.88;0.51;0.53;1.13;42.3;38.3;51.1;51.2;39.3;44.3;61.3;56.8;54.4;27.8;59.7;31.5;29.3;34.5;30.8;51.7;33.5;73.2;51;146.5;37.9;104.1;21.3;18.8
1453228_at;syntaxin 11;Stx11;chr10:12650759-12674861 (-) // 98.71 // qA1;74732;74732;5;0.114870324;2.87;5.94;8.34;4.48;0.81;0.49;1.38;130;205.8;346.2;290.3;129;178.3;131.7;132.6;634.5;511.3;709.9;350.2;229.7;172.6;81.8;461.6;303.6;768.9;106.8;306.4;85.1;269;138;617.9
1452367_at;coronin| actin binding protein 2A;Coro2a;chr4:45781977-45787882 (-) // 88.67 // qB1;---;---;1;0.763538228;2.86;1.33;2.58;0.88;1.47;1.01;1.07;230.5;232.1;275.3;250.2;208.5;223.8;155.4;153.6;154.8;227.3;200.4;202.6;118.8;154.4;68.5;275.4;79.7;262.2;116.2;331.9;77.7;314.5;79.1;70
1443468_at;---;---;chr6:29762900-29763481 (+) // 68.03 // qA3.3;---;---;6;0.876054447;2.85;0.43;0.57;0.34;0.35;1.35;1.55;218.1;291.5;539;265.5;199.4;308.1;198.2;245.6;103.7;36.5;122.6;165.3;90.7;127.3;125.7;488;176.1;516.8;242.9;693.2;215.9;732.3;174.4;59.6
1437908_a_at;RIKEN cDNA 1200007D18 gene;1200007D18Rik;chr17:25243978-25244297 (+) // 94.03 // qA3.3;67458;67458;5;0.599936033;2.83;1.88;2.19;0.51;1.24;0.82;1.02;512.9;406.5;762.4;425.7;396.2;403.4;243.2;249.4;658.4;816.2;772.4;631.8;398.5;340;251.7;629.5;251.3;811.6;349.6;989.5;352.3;651;155.2;79.2
1437111_at;zinc finger CCCH type containing 12C;Zc3h12c;chr9:52274035-52276232 (-) // 93.63 // qA5.3;330940;330940;6;0.452403907;2.82;2.17;1.4;0.79;1.09;0.86;1.07;38;36.8;47;48.9;35.5;38;39;32.2;88.9;97;55.8;47.8;33.9;38.6;49.9;84.5;45.4;236.4;41;115.7;39.7;88.2;41.5;32.8
1455898_x_at;solute carrier family 2 (facilitated glucose transporter)| member 3;Slc2a3;chr6:123365384-123365773 (-) // 88.75 // qF2;20527;20527;5;0.076896008;2.82;3.41;2.66;0.68;0.21;0.2;1.61;2787.9;1180.6;1136;524.8;1390.4;2242.9;1851.2;2606.6;2470.2;518.1;2035.2;400.1;2197;836.7;676.2;852.1;561;1553;724.9;2046.6;764;1884.6;533.8;360.8
1450357_a_at;chemokine (C-C motif) receptor 6;Ccr6;chr17:7646087-7658086 (+) // 98.0 // qA1;12458;12458;6;0.338147288;2.81;0.71;1.12;0.67;1.1;2.5;0.92;110.7;121.5;205.8;265.8;148;136.5;107.6;122.2;90.6;99.7;122.3;306.3;122.9;96.3;110.8;1720;231.8;1637.5;127;356.5;108.8;253.7;206;137
1426994_at;PH domain and leucine rich repeat protein phosphatase;Phlpp;chr1:106347130-106365304 (+) // 96.0 // qE2.1;98432;98432;1;0.682162856;2.8;0.9;1.25;1.04;1.14;1.04;1.4;156.5;106.5;202.6;138.2;155.1;217;151.8;226.2;115.2;131.6;131.1;136.7;154;205.2;72.2;183.6;76.3;203.9;127.5;356.6;104.9;330.8;85.3;88.8
1433741_at;CD38 antigen;Cd38;chr5:42522774-42524029 (+) // 71.86 // qB3;12494;12494;1;0.101309648;2.8;2.62;2.09;0.75;4.1;8.87;1.86;66.2;347.8;224.1;684.6;108.4;201.8;79;117.8;243.8;999.7;143.2;1270.7;598.9;1154.6;83.4;364.8;177;520.3;92.9;259.9;68.5;255.8;226.5;168.9
1420064_s_at;transketolase-like 1;Tktl1;chrX:65766418-65766871 (+) // 95.91 // qA7.2;83553;83553;2;-0.095050554;2.8;1.89;0.58;1.01;0.3;0.74;0.88;132;26.9;49.5;20;181.5;159.1;280.3;320.3;72.6;21.9;26.9;20;29.5;24.5;43.8;83.3;27.6;58.7;38.5;107.8;46.4;70;23.1;23.4
1437637_at;putative homeodomain transcription factor 2;Phtf2;chr5:19139276-19140627 (-) // 93.93 // qA3;68770;68770;1;0.867343174;2.79;1.09;1.41;1.1;1.21;1.11;1.35;99.6;121;203;153.1;86.5;117.1;76.3;94.4;97.5;117.6;114.9;127.4;47.1;49.7;71.4;119;67.9;164.7;89.1;248.6;81.5;266.4;47.7;52.7
1422631_at;aryl-hydrocarbon receptor;Ahr;chr12:30239674-30566510 (-) // 83.51 // qA2;11622;11622;5;0.275143964;2.78;3.58;3.3;1.24;2.94;4.2;0.96;60.2;361.6;175.4;598.9;56.9;54.3;55.2;60.8;447.9;1316.5;314.7;1321.1;57.6;365;127.9;1031.1;158.6;1334;125;347.9;95.5;321.8;158.2;196.6
