Probe Set ID	Gene Title	Gene Symbol	Probe Position	NCBI	NCBI	Cluster	Correlation to FoxP3	TregSig	IL2ActnoFox	IL2Act	Act	TGFnoFox	TGF	FOXP3rv	ActCD4	ActCD4TGF	ActTreg	ActTregTGF	CTRLrv	FOXP3rv	Ctrlrv	Foxp3rv	sfActCD4	sfActCD4TGF	wtActCD4	wtActCD4TGF	ActCD8	ActCD8TGF	TconvThy	TregThy	TconvLN	TregLN	TconvSpN	TregSpN	TconvSpB	TregSpB	CD4AND	ActCD4AND		TregSig	Fold change of (TregLN, TregSpN, TregSpB)/(TconvLN, TconvSpN, TconvSpB)
1433694_at	phosphodiesterase 3B, cGMP-inhibited	Pde3b	chr7:101818035-101819508 (+) // 99.32 // qE3	18576	18576	2	-0.76	0.1	1.7	1.1	0.6	0.8	0.4	0.8	5469	820	1103	643	6080	4776	6888	6340	5137	3880	4752	2043	5996	6569	3008	632	3147	216	3094	406	4308	376	4188	2301			
1417710_at	methyltransferase like 9	Mettl9	chr7:108329842-108372233 (+) // 91.53 // qF1	59052	59052	2	-0.74	0.2	1.4	1.8	0.8	1.0	0.7	0.8	2945	1976	2099	1725	3148	2359	3092	2451	2437	2454	2773	1969	1955	2454	2727	1532	2336	768	1772	409	1540	488	1729	1367			
1433795_at	transforming growth factor, beta receptor III	Tgfbr3	chr5:104541155-104543002 (-) // 97.57 // qE5	21814	21814	2	-0.70	0.3	0.7	0.8	0.4	1.5	0.9	0.8	1549	1009	523	421	1524	1242	1504	1234	942	1446	901	776	862	1210	849	486	1261	306	1343	450	1155	297	1172	485			
1448568_a_at	solute carrier family 20, member 1	Slc20a1	chr2:128947822-128960638 (+) // 94.69 // qF1	20515	20515	2	-0.69	0.5	0.6	0.7	0.7	1.4	0.7	0.9	2480	1636	1784	1556	2470	2306	2374	2207	2001	2739	2233	1631	2719	2635	3168	1443	3097	1588	3181	1573	3153	1563	2260	1631			
1438171_x_at	methyltransferase like 9	Mettl9	chr7:108371956-108372232 (+) // 92.93 // qF1	59052	59052	2	-0.66	0.4	0.9	0.9	0.7	1.0	0.9	0.7	1899	1368	1406	1245	2052	1527	2137	1613	1722	1703	1690	1477	1693	1884	2024	1433	1885	819	2003	698	1956	651	973	635			
1424463_at	RIKEN cDNA 2210010L05 gene	2210010L05Rik	chr1:53030344-53031927 (-) // 98.08 // qC1.1	98682	98682	2	-0.66	0.5	1.0	0.7	0.8	1.0	0.6	0.8	1154	473	748	567	1116	937	1250	915	1327	1274	1159	726	1551	1406	1046	576	1816	848	1303	652	1761	779	1174	991			
1456235_at	expressed sequence BB165335	BB165335	chr10:28519915-28520535 (+) // 23.4 // qA4	---	---	2	-0.66	0.3	2.0	1.6	0.5	0.5	0.5	0.7	475	261	187	158	482	336	552	509	462	242	365	181	629	512	511	206	345	66	229	74	232	82	275	138			
1434903_s_at	interleukin 1 receptor-like 2	Il1rl2	chr1:40691004-40691556 (+) // 88.83 // qB	---	---	2	-0.64	0.1	0.7	1.0	1.0	0.7	0.5	0.6	303	162	103	53	253	147	199	137	207	141	319	156	115	59	324	68	274	38	310	43	327	36	208	205			
1436423_at	RIKEN cDNA E430004N04 gene	E430004N04Rik	chr10:28670436-28672702 (+) // 87.93 // qA4	210757	210757	2	-0.64	0.5	1.3	1.2	1.1	0.6	0.6	0.8	1833	1015	679	692	1832	1396	1965	1734	1703	1091	1481	856	1951	1737	1272	648	1019	264	1279	584	1203	616	687	766			
1457707_at	gene model 489, (NCBI)	Gm489	chr7:59107746-59108849 (-) // 73.24 // qC	---	---	2	-0.63	0.3	0.5	0.5	1.1	1.3	0.7	0.9	70	53	49	49	87	76	84	76	88	118	82	61	173	149	75	42	143	46	175	51	160	48	146	167			
1415856_at	embigin	Emb	chr13:114182533-114236117 (+) // 99.37 // qD2.3	13723	13723	2	-0.62	0.4	1.1	1.6	0.7	1.0	0.5	0.9	4780	1655	2589	1345	4593	3984	5716	6182	3094	2970	3468	1750	5617	4645	3372	1639	2966	1470	2809	1192	2187	1108	2238	1583			
1437745_at	chromodomain helicase DNA binding protein 7	Chd7	chr4:8617703-8728612 (+) // 96.15 // qA1	320790	320790	2	-0.58	0.4	0.7	0.9	0.5	0.7	0.5	1.2	147	121	92	62	120	139	173	196	162	111	171	91	163	123	255	83	230	92	247	97	200	64	133	64			
1444040_at	leukocyte-associated Ig-like receptor 1	Lair1	chr7_random:34452223-34452753 (-) // 11.63 //	52855	52855	2	-0.57	0.3	0.7	0.7	3.1	1.4	1.6	1.0	96	81	72	53	94	93	92	96	80	112	64	103	100	108	77	46	93	47	111	38	87	36	43	132			
1450061_at	ectodermal-neural cortex 1	Enc1	chr13:93971556-93983570 (+) // 99.2 // qD1	13803	13803	2	-0.57	0.3	0.7	0.9	0.5	0.7	0.5	0.9	556	379	325	286	578	545	715	620	780	571	743	344	337	252	966	318	747	257	1050	268	845	267	476	241			
1437699_at	RIKEN cDNA E430014B02 gene	E430014B02Rik	chr17:49927589-49928266 (-) // 96.08 // qC	320908	320908	2	-0.57	0.5	1.1	1.0	0.3	0.4	0.3	1.1	895	539	494	308	960	1089	1246	1439	1006	410	726	181	816	739	1241	532	1080	303	922	414	722	412	893	283			
1426530_a_at	kelch-like 5 (Drosophila)	Klhl5	chr5:63792069-63804140 (+) // 98.17 // qC3.1	71778	71778	2	-0.56	0.3	0.4	0.6	0.9	1.2	0.9	0.8	622	333	286	220	609	502	664	607	244	299	271	242	346	277	143	211	543	256	548	171	464	148	449	400			
1429390_at	acid phosphatase-like 2	Acpl2	chr9:96667106-96734159 (-) // 90.18 // qE3.3	235534	235534	2	-0.54	0.3	0.8	0.9	1.0	0.8	0.5	0.8	473	244	266	151	423	355	355	302	185	150	200	98	246	116	273	74	278	93	222	58	219	58	151	148			
1419328_at	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	Sema4f	chr6:83150198-83177267 (-) // 93.48 // qC3	20355	20355	2	-0.53	0.3	0.7	0.8	0.5	0.8	0.8	0.9	445	431	315	334	537	507	550	435	589	487	433	325	981	783	458	235	640	286	856	258	571	209	402	183			
1446621_at	Chromodomain helicase DNA binding protein 7	Chd7	chr4:8740957-8741597 (+) // 87.34 // qA1	---	---	2	-0.52	0.3	0.5	0.6	0.5	0.6	0.5	1.0	345	215	239	134	345	358	463	457	371	227	332	166	357	268	525	146	463	152	754	246	549	177	319	148			
1448110_at	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	Sema4a	chr3:88925749-88945530 (-) // 97.99 // qF1	20351	20351	2	-0.52	0.5	0.9	0.7	0.9	1.1	0.5	0.8	304	223	161	117	353	270	273	209	144	151	127	63	258	139	221	84	167	72	170	81	189	87	142	133			
1424029_at	TSPY-like 4	Tspyl4	chr10:34127810-34131706 (+) // 97.94 // qB1	72480	72480	2	-0.50	0.5	0.6	0.8	1.4	1.0	0.9	1.1	679	525	762	567	816	875	825	772	590	569	600	535	681	769	831	458	771	409	992	495	759	371	299	430			
1439768_x_at	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	Sema4f	chr6:83150199-83150843 (-) // 56.36 // qC3	20355	20355	2	-0.50	0.2	0.6	0.6	0.4	0.8	0.7	0.9	648	609	439	408	796	714	793	614	958	738	599	398	1651	1327	643	274	1071	326	1565	383	987	200	512	185			
1440440_at	---	---	chr9:13314378-13315020 (+) // 75.08 // qA1	---	---	2	-0.50	0.3	0.4	0.4	0.4	0.9	0.7	0.8	872	311	300	165	822	683	1390	1311	301	277	284	188	883	908	882	272	1145	443	690	237	738	267	615	246			
1455257_at	integrin beta 3	Itgb3	chr11:104340451-104342027 (+) // 92.35 // qE1	---	---	2	-0.50	0.3	4.7	1.2	1.2	0.3	0.1	1.0	2956	674	1002	286	3304	3393	3576	3170	4864	1361	2798	282	1048	262	1993	359	1863	625	1045	269	2439	1221	1053	1256			
1415812_at	gelsolin	Gsn	chr2:35242403-35267892 (+) // 96.37 // qB	227753	227753	2	-0.50	0.6	1.6	1.1	1.0	0.4	0.5	1.2	91	70	47	26	93	109	108	114	145	55	86	46	55	49	159	50	57	32	89	52	81	54	61	59			
1456735_x_at	acid phosphatase-like 2	Acpl2	chr9:96668025-96668286 (-) // 83.17 // qE3.3	235534	235534	2	-0.49	0.2	0.4	0.4	0.9	0.6	0.4	0.7	675	354	464	209	678	454	561	516	293	181	325	125	457	204	470	120	548	164	802	131	747	118	168	151			
1417171_at	IL2-inducible T-cell kinase	Itk	chr11:45964884-46029250 (-) // 94.96 // qB1.1	16428	16428	2	-0.48	0.6	0.7	0.7	0.4	0.7	0.5	1.0	1074	541	572	390	1077	1036	1126	1132	999	698	937	489	1002	1402	1144	468	973	439	1449	886	1421	829	1113	458			
1424585_at	RAN binding protein 10	Ranbp10	chr8:105081545-105141255 (-) // 91.65 // qD3	74334	74334	2	-0.48	0.6	0.6	0.6	0.8	1.0	0.9	1.0	360	315	251	265	432	425	671	669	274	278	279	254	456	435	434	249	358	217	430	248	436	264	362	272			
1417382_at	ectonucleoside triphosphate diphosphohydrolase 5	Entpd5	chr12:79694895-79721419 (-) // 87.72 // qD1	12499	12499	2	-0.47	0.7	0.6	0.7	2.1	1.7	1.3	0.9	773	583	665	601	806	690	835	675	393	666	483	609	646	745	598	441	496	311	674	446	726	389	324	695			
1451763_at	cyclic nucleotide gated channel alpha 1	Cnga1	chr4_random:3557111-3596168 (+) // 95.06 // /// chr5:	12788	12788	2	-0.47	0.3	0.6	1.4	0.9	0.7	0.5	0.6	241	72	58	38	322	183	432	298	107	69	122	56	275	348	258	43	76	26	186	47	86	31	44	40			
1436499_at	transmembrane protein 23	Tmem23	chr19:31431235-31431980 (-) // 85.4 // qC1	---	---	2	-0.47	0.3	1.3	1.4	0.6	0.3	0.4	1.0	1174	719	867	632	1431	1365	1644	1657	1933	613	1378	594	318	201	1100	586	1104	581	1523	476	970	319	517	333			
1443284_at	Special AT-rich sequence binding protein 1	Satb1	chr17:49960123-49960775 (-) // 99.23 // qC	---	---	2	-0.46	0.5	1.7	1.2	0.3	0.4	0.4	1.1	499	285	215	155	492	554	690	792	481	194	286	122	551	477	1228	525	592	197	285	131	238	157	466	115			
1455646_at	RIKEN cDNA 2010004M13 gene	2010004M13Rik	chr7:7725713-7726367 (+) // 96.6 // qA1	76511	76511	2	-0.46	0.3	0.4	0.3	1.2	0.5	1.2	0.9	153	111	83	67	177	152	305	297	103	55	65	79	228	199	288	139	304	116	275	89	242	101	157	181			
1440842_at	RIKEN cDNA C230085N15 gene	C230085N15Rik	chr17:49942006-49942851 (-) // 99.76 // qC	320556	320556	2	-0.46	0.5	1.3	1.0	0.4	0.4	0.3	1.2	894	467	463	270	870	1045	1237	1230	981	398	711	187	709	589	1596	443	764	218	763	413	702	439	345	153			
1428283_at	cytochrome P450, family 2, subfamily s, polypeptide 1	Cyp2s1	chr7:14528841-14542931 (-) // 92.29 // qA2	74134	74134	2	-0.45	0.4	0.4	0.3	0.8	0.7	0.9	0.7	271	115	121	92	264	187	374	264	133	92	108	93	171	192	179	104	275	127	304	127	328	117	149	115			
1433977_at	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	Hs3st3b1	chr11:63498337-63500318 (-) // 92.4 // qB3	104645	104645	2	-0.45	0.2	0.2	0.4	0.3	1.2	0.9	0.9	204	205	52	68	175	165	178	185	42	51	68	58	162	103	178	57	304	43	247	56	176	27	258	78			
1417384_at	ectonucleoside triphosphate diphosphohydrolase 5	Entpd5	chr12:79694895-79721419 (-) // 87.72 // qD1	12499	12499	2	-0.44	0.7	0.6	0.8	1.8	1.6	1.2	0.9	772	561	684	570	838	735	939	763	391	616	464	548	698	860	534	392	471	291	611	403	593	286	266	468			
1434674_at	lysosomal trafficking regulator	Lyst	chr13:13129576-13130782 (+) // 99.01 // qA1	---	---	2	-0.44	0.5	1.1	0.6	1.1	0.4	0.3	0.9	523	147	295	143	653	577	566	598	684	267	532	166	1393	763	413	213	530	259	643	320	930	396	279	309			
1426743_at	Dip3 beta	Dip3b	chr10:83263152-83311837 (-) // 97.74 // qC1	216190	216190	2	-0.44	0.2	0.2	0.2	0.2	1.1	2.9	1.1	580	623	248	361	639	677	888	785	245	269	224	653	983	1273	613	215	674	250	1646	326	1303	197	1528	274			
1445302_at	immunoglobulin superfamily, member 6	Igsf6	chr7:108367316-108367979 (+) // 58.76 // qF1	---	---	2	-0.44	0.6	0.7	0.6	0.5	1.0	1.0	0.8	235	184	211	216	277	221	296	251	170	167	165	163	243	291	333	218	343	175	261	159	259	164	224	110			
1453568_at	RIKEN cDNA 2310032F03 gene	2310032F03Rik	chr2:59423288-59443569 (+) // 93.84 // qC1.1	76747	76747	2	-0.43	0.1	0.1	0.1	0.6	0.8	0.8	1.0	404	62	83	26	505	495	740	892	34	27	38	29	124	79	54	46	520	55	588	77	630	99	551	321			
1428357_at	RIKEN cDNA 2610019F03 gene	2610019F03Rik	chr8:13978523-14001277 (-) // 98.99 // qA1.1	72148	72148	2	-0.42	0.2	0.1	0.1	0.1	0.4	1.4	0.7	537	250	101	161	626	406	1303	1019	89	33	64	89	576	1271	1462	248	1074	150	1170	219	1090	204	653	92			
1426575_at	transmembrane protein 23	Tmem23	chr19:31431738-31519500 (-) // 98.71 // qC1	208449	208449	2	-0.42	0.4	2.4	2.5	1.1	0.3	0.4	0.9	139	93	106	73	212	190	197	209	327	102	225	81	38	36	131	64	93	57	137	60	92	41	48	53			
1449602_at	Kelch-like 5 (Drosophila)	Klhl5	chr5:63790681-63790902 (+) // 100.0 // qC3.1	---	---	2	-0.42	0.3	0.3	0.4	0.9	0.9	0.9	1.0	60	31	24	20	54	52	81	67	21	20	24	21	40	28	20	21	107	47	78	20	60	20	41	34			
1433657_at	RIKEN cDNA A130092J06 gene	A130092J06Rik	chr2:32026889-32027548 (-) // 87.37 // qB	241303	241303	2	-0.41	0.4	0.3	0.3	0.9	1.8	1.5	0.9	390	405	249	294	478	419	645	546	264	462	282	414	647	953	706	234	760	297	841	324	978	344	356	330			
1438934_x_at	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	Sema4a	chr3:88925751-88926024 (-) // 69.53 // qF1	20351	20351	2	-0.40	0.4	0.4	0.3	0.7	1.0	0.3	0.8	1030	743	668	351	1168	874	911	732	437	450	398	136	1352	643	898	355	1003	287	1138	421	1350	457	409	298			
1431659_at	transmembrane protein 86B	Tmem86b	---	68255	68255	2	-0.40	0.5	1.0	0.3	0.6	0.3	0.6	0.8	168	41	37	36	193	155	304	282	106	28	48	30	171	81	88	50	91	38	111	52	150	45	31	18			
1426893_at	RIKEN cDNA C230093N12 gene	C230093N12Rik	chr2:32495286-32529742 (+) // 97.41 // qB	98952	98952	2	-0.39	0.6	1.8	1.6	0.4	0.5	0.3	0.9	607	373	362	211	546	498	443	431	761	399	587	180	222	232	453	180	336	195	421	260	375	237	220	93			
1447012_at	---	---	chr16:85361557-85362113 (+) // 98.56 // qC3.3	---	---	2	-0.39	0.6	0.6	0.6	0.9	1.0	1.0	1.0	39	37	32	35	41	42	49	42	35	34	34	33	42	36	38	32	57	28	56	35	55	34	34	31			
1444088_at	---	---	chr6:41132011-41133014 (-) // 49.21 // qB1	---	---	2	-0.38	0.5	0.4	0.4	0.7	0.8	1.0	1.2	1986	1942	2734	2209	2414	2838	2924	3386	1560	1224	1645	1642	2904	2820	3116	1538	3934	636	3903	1975	4092	1787	3335	2236			
1436512_at	ADP-ribosylation factor-like 4C /// similar to ADP-ribosylation factor-like protein 7	Arl4c /// LOC632433	chr1:88611488-88613962 (-) // 93.38 // qD	320982	320982	2	-0.38	0.4	0.5	0.4	0.7	0.6	0.8	1.0	2745	2419	1552	1089	2741	2811	2569	2380	1742	1109	1116	849	2741	2524	2229	815	2667	1145	3285	1342	2632	1108	639	419			
1428736_at	GRAM domain containing 3	Gramd3	chr18:56930781-57002429 (+) // 98.81 // qD3	107022	107022	2	-0.37	0.5	0.2	0.4	1.1	0.5	0.7	1.0	1044	835	712	559	1561	1593	2321	2276	339	183	527	370	3527	3257	850	461	1311	585	1608	718	1369	662	1043	1124			
1460678_at	kelch domain containing 2	Klhdc2	chr12:64562255-64576040 (+) // 98.15 // qC2	69554	69554	2	-0.37	0.3	0.3	0.9	0.9	0.9	0.9	1.1	754	386	332	279	518	546	695	728	220	194	259	228	289	186	648	375	484	224	645	194	286	154	224	205			
1444993_at	similar to mortality factor 4 like 1 (predicted) /// similar to mortality factor 4 like 1 (predicted) /// similar to mortality factor 4 like 1 (predicted)	LOC664949 /// LOC671072 /// LOC675080	chr5:27615362-27616236 (+) // 85.44 // qB1	---	---	2	-0.36	0.4	0.3	0.4	0.8	1.1	1.2	1.0	33	24	22	27	35	33	64	74	21	22	23	27	36	47	29	24	43	22	73	31	52	24	35	27			
1454731_at	myosin X	Myo10	chr15:25854259-25855059 (+) // 87.8 // qB1	17909	17909	2	-0.35	0.3	1.8	0.9	1.0	0.6	0.6	0.9	306	279	156	138	256	220	309	269	652	399	274	174	76	71	282	150	250	93	372	107	301	97	89	86			
1423298_at	adducin 3 (gamma)	Add3	chr19:52499971-52606868 (+) // 96.28 // qD2	27360	27360	2	-0.35	0.6	0.4	0.4	0.9	1.0	1.5	0.8	1698	1481	1358	1359	2072	1622	2200	2059	683	663	630	942	1123	1201	1668	876	1503	789	1673	944	1541	989	1550	1374			
1421299_a_at	lymphoid enhancer binding factor 1	Lef1	chr3:131696562-131806458 (+) // 47.2 // qG3 /// chr9:	16842	16842	2	-0.34	0.6	0.7	0.8	0.7	0.8	1.3	1.0	67	56	37	35	62	61	105	89	28	21	28	37	50	41	87	51	79	32	37	22	37	24	43	30			
1450853_at	transducin-like enhancer of split 4, homolog of Drosophila E(spl)	Tle4	chr19:13725047-13726709 (-) // 98.27 // qA	21888	21888	2	-0.33	0.6	0.3	0.4	0.8	1.1	1.0	0.8	703	417	452	405	909	722	870	795	324	352	407	414	985	1078	714	388	970	586	1099	609	1021	563	552	421			
1438475_at	cDNA sequence AB124611	AB124611	chr9:21482206-21482763 (+) // 75.58 // qA3	382062	382062	2	-0.33	0.5	0.3	0.4	1.0	1.2	0.9	0.9	180	157	106	99	199	170	287	251	86	100	75	65	343	395	222	137	201	130	264	137	195	130	141	137			
1429764_at	RIKEN cDNA 1500005K14 gene	1500005K14Rik	chr11:75633143-75640337 (-) // 94.73 // qB5	76566	76566	2	-0.33	0.6	0.4	0.4	0.4	1.0	1.5	1.2	96	128	58	75	82	97	209	240	61	61	57	83	208	311	224	82	248	77	162	101	139	75	171	67			
1428323_at	glycerol phosphate dehydrogenase 2, mitochondrial	Gpd2	chr2:57320037-57324091 (+) // 96.04 // qC1.1	14571	14571	2	-0.32	0.6	1.1	1.1	1.9	0.9	0.7	0.9	696	555	727	662	599	543	502	446	799	717	802	527	406	274	887	548	597	355	728	446	745	468	449	853			
1447409_at	---	---	chr4:8762682-8763099 (+) // 99.05 // qA1	---	---	2	-0.32	0.6	0.6	0.7	0.6	0.7	0.8	1.0	177	144	163	138	183	186	276	224	209	153	200	158	199	182	211	138	228	135	359	213	303	144	150	96			
1442855_at	dopey family member 1	Dopey1	chr9:86909989-86932910 (+) // 75.56 // qE3.1	320615	320615	2	-0.32	0.6	0.7	0.6	0.5	1.2	1.6	0.8	386	343	363	380	394	330	420	373	218	265	181	282	394	489	645	342	664	372	328	192	287	180	323	169			
1455170_at	RIKEN cDNA 2810001G20 gene	2810001G20Rik	chr11:63692129-63695806 (+) // 86.62 // qB3	66456	66456	2	-0.32	0.3	0.3	0.2	0.7	0.8	1.6	0.9	135	204	81	115	169	146	214	226	88	70	67	104	212	193	217	83	405	105	276	82	320	86	173	129			
1454905_at	inhibitor of Bruton agammaglobulinemia tyrosine kinase	Ibtk	chr9:86117218-86156591 (-) // 96.84 // qE3.1	108837	108837	2	-0.31	0.4	0.5	0.6	1.2	0.9	0.7	0.9	1319	941	1015	872	1380	1224	1560	1751	986	928	1078	761	453	340	821	609	1766	804	2027	722	1694	870	683	802			
1427363_at	Myosin X	Myo10	chr15:25678356-25680347 (+) // 83.11 // qB1	17909	17909	2	-0.31	0.3	0.8	0.4	0.8	0.6	0.8	0.9	188	206	153	152	186	174	233	202	363	222	158	127	83	97	315	132	255	74	460	154	396	136	116	87			
1436212_at	transmembrane protein 71	Tmem71	chr15:66795741-66796366 (-) // 45.91 // qD2	213068	213068	2	-0.31	0.6	0.2	0.2	0.9	0.6	1.3	0.9	2825	1977	1427	1049	3513	3102	4903	4613	533	292	616	769	3339	3547	1764	1232	2612	1474	2777	1553	2687	1647	2112	1816			
1455244_at	dishevelled associated activator of morphogenesis 1	Daam1	chr12:67259870-67261933 (+) // 94.53 // qC2	208846	208846	2	-0.30	0.5	0.6	0.8	0.8	0.6	0.8	0.7	535	266	330	258	411	304	361	284	254	154	261	208	207	205	250	208	358	221	451	209	325	149	122	92			
1456603_at	RIKEN cDNA 1500005K14 gene	1500005K14Rik	chr11:75631748-75633264 (-) // 82.3 // qB5	76566	76566	2	-0.30	0.4	0.1	0.1	0.2	1.2	3.5	1.2	962	1285	257	512	887	1067	2064	2346	261	322	186	641	1737	2852	2481	646	1518	369	3052	1156	1473	344	1510	301			
1452789_at	stannin	Snn	chr16:10760732-10769505 (+) // 98.19 // qA1	20621	20621	2	-0.30	0.4	0.3	0.3	1.1	1.4	3.3	1.2	448	404	160	238	388	468	579	601	60	86	56	187	66	66	416	178	321	115	242	89	215	88	212	232			
1433825_at	Neurotrophic tyrosine kinase, receptor, type 3	Ntrk3	chr7:65362802-65364035 (-) // 97.7 // qC	---	---	2	-0.29	0.3	0.4	0.6	0.7	0.7	1.4	0.8	98	157	66	81	143	116	197	200	69	48	72	100	74	219	75	43	139	40	157	50	119	40	42	27			
1424584_a_at	RAN binding protein 10	Ranbp10	chr8:105081545-105141255 (-) // 91.65 // qD3	74334	74334	2	-0.26	0.6	0.4	0.4	0.6	1.0	1.0	1.0	866	715	592	595	999	958	1704	1616	618	595	568	572	1268	1234	1132	692	971	616	1687	991	1590	912	837	533			
1454788_at	similar to ADP-ribosylation factor-like protein 7	LOC632433	chr1:88610046-88611769 (-) // 98.29 // qD	320982	320982	2	-0.25	0.4	0.4	0.3	0.6	0.5	0.8	1.1	2935	2220	2006	1396	2500	2697	3398	3262	1329	703	891	727	2038	2400	2703	1285	3187	1607	3687	1632	3335	1967	1061	611			
1429582_at	BTB (POZ) domain containing 14A	Btbd14a	chr2:26015556-26017954 (-) // 98.84 // qA3	67991	67991	2	-0.25	0.3	0.3	0.4	1.0	0.9	1.5	0.9	50	52	37	50	76	67	86	88	31	28	30	47	38	57	40	28	51	28	111	37	83	44	33	33			
1456878_at	expressed sequence AI646023	AI646023	chr10:75420900-75421617 (-) // 58.78 // qC1	192734	192734	2	-0.24	0.1	0.1	0.1	0.4	0.9	0.9	0.8	76	57	30	33	105	87	112	62	23	21	25	23	30	24	25	20	136	22	460	21	194	20	34	12			
1428071_at	RIKEN cDNA 1110038D17 gene	1110038D17Rik	chr10:75377080-75388148 (-) // 97.02 // qC1	68778	68778	2	-0.22	0.5	0.3	0.3	0.8	1.2	1.3	0.9	448	611	332	432	567	520	622	627	228	265	236	298	346	362	510	275	618	280	765	376	790	396	536	421			
1448485_at	gamma-glutamyltransferase 1	Ggt1	chr10:75439432-75456974 (+) // 93.74 // qC1	14598	14598	2	-0.22	0.5	0.5	0.6	1.7	1.0	1.0	0.6	75	77	42	45	122	68	111	75	45	44	44	41	104	55	63	38	71	40	95	43	79	46	42	72			
1417928_at	PDZ and LIM domain 4	Pdlim4	chr11:53694666-53708707 (-) // 93.57 // qB1.3	30794	30794	2	-0.19	0.1	0.1	0.2	0.6	1.0	1.9	0.9	361	521	144	126	464	429	674	648	29	30	51	95	29	37	122	39	128	30	473	28	280	33	24	14			
1416225_at	alcohol dehydrogenase 1 (class I)	Adh1	chr3:138834823-138847875 (+) // 90.66 // qG3	11522	11522	2	-0.18	0.4	0.1	0.2	0.2	1.3	4.2	0.9	265	291	128	147	301	280	443	515	80	101	77	320	129	228	329	145	357	112	754	262	368	109	205	49			
1455917_at	neurotrophic tyrosine kinase, receptor, type 3	Ntrk3	chr7:65253654-65309316 (-) // 88.44 // qC	18213	18213	2	-0.14	0.4	0.4	0.5	0.8	1.0	1.5	1.2	25	55	21	21	26	32	33	32	20	20	20	30	20	63	21	20	48	20	50	20	38	21	15	12			
1444275_at	Uronyl-2-sulfotransferase	Ust	chr10:7882535-7883584 (-) // 65.72 // qA1	338362	338362	2	-0.14	0.5	0.1	0.3	0.7	1.0	1.0	0.5	90	37	23	38	73	36	137	57	20	20	20	21	53	52	20	24	34	21	149	70	76	20	16	12			
1435554_at	transmembrane and coiled coil domains 3	Tmcc3	chr10:94363648-94364585 (+) // 96.7 // qC2	---	---	2	-0.12	0.5	0.4	1.2	2.2	2.0	1.0	0.9	483	501	422	364	571	508	454	480	130	261	284	270	165	288	336	155	172	91	308	167	237	144	20	43			
1420064_s_at	transketolase-like 1	Tktl1	chrX:65766418-65766871 (+) // 95.91 // qA7.2	83553	83553	2	-0.10	2.8	1.9	0.6	1.0	0.3	0.7	0.9	132	27	50	20	182	159	280	320	73	22	27	20	30	25	44	83	28	59	39	108	46	70	23	23			
1423756_s_at	insulin-like growth factor binding protein 4	Igfbp4	chr11:98712367-98723778 (+) // 90.95 // qD	16010	16010	2	-0.04	0.1	0.1	0.4	0.0	1.1	1.2	1.0	3044	5875	1804	4035	3363	3280	3010	2476	376	414	916	1111	190	592	3641	919	3512	660	4444	591	2606	641	748	32			
1437406_x_at	insulin-like growth factor binding protein 4	Igfbp4	chr11:98723297-98723748 (+) // 74.96 // qD	16010	16010	2	-0.01	0.3	0.1	0.3	0.3	1.3	1.2	0.9	3762	6159	2692	4817	4027	3586	3916	3095	710	926	1492	1786	644	1217	4483	1853	4977	1293	6542	1853	4845	1812	1495	447			
1437405_a_at	insulin-like growth factor binding protein 4	Igfbp4	chr11:98723297-98723748 (+) // 74.96 // qD	16010	16010	2	0.00	0.3	0.1	0.3	0.1	1.1	1.2	0.9	4486	7028	3294	5561	4739	4224	4635	3835	837	904	1786	2165	471	1319	5404	2235	6179	1686	7872	2563	6131	2385	2072	146			
1448546_at	Ras association (RalGDS/AF-6) domain family 3	Rassf3	chr10:121152935-121218887 (-) // 95.59 // qD2	192678	192678	2	0.02	0.6	0.3	0.5	1.3	1.0	1.6	1.1	307	329	304	381	364	394	400	400	98	94	134	209	140	102	283	239	253	159	380	209	286	190	115	150			
1423757_x_at	insulin-like growth factor binding protein 4	Igfbp4	chr11:98712367-98723778 (+) // 90.95 // qD	16010	16010	2	0.03	0.3	0.2	0.5	0.3	0.9	1.2	1.0	738	1459	489	958	790	785	714	636	192	179	296	341	122	207	849	300	848	250	918	288	655	300	289	77			
1460245_at	killer cell lectin-like receptor, subfamily D, member 1	Klrd1	chr6:130253189-130260178 (+) // 97.69 // qF3	16643	16643	3	-0.24	0.1	0.3	0.1	1.0	25.2	8.3	0.5	289	80	116	453	372	187	900	535	113	2849	33	274	7282	8154	110	39	403	62	419	29	669	31	365	364			
1439814_at	ATPase, class I, type 8B, member 4	Atp8b4	chr2:126069995-126070859 (-) // 94.36 // qF1	---	---	3	-0.41	0.1	1.5	0.6	0.7	0.6	0.3	0.5	279	66	89	74	392	193	264	217	428	264	255	65	1490	656	156	193	242	37	280	34	455	39	128	94			
1416041_at	serum/glucocorticoid regulated kinase	Sgk	chr10:21718551-21723766 (+) // 96.97 // qA3	20393	20393	3	-0.01	0.2	0.3	0.5	1.1	1.2	5.7	1.0	965	3282	1723	3076	1158	1156	1331	1238	586	719	546	3131	1939	1530	1484	348	1081	230	1850	448	1003	291	387	423			
